user,tweet
rafatalamthe1@gmail.,#Jamia #NathuramGodse #CAA_NRCProtests https://t.co/M8uKCq22LM
Harpreet Sangar,@NikSri007 @myselfrk @RahilPa46417225 @samjawed65 @priyankac19 Bhai janta ko pata hei kitna danga ho raha hei… https://t.co/Hx75XAGEV7
Virendra Sharma,"अब अरफखानम ने अपनी स्ट्रैटजी बदल दी है अब मर्दों को रजाई मै और आैरत ओर बच्चो को सड़क पर उतार दिया है.

कुछ भी कर लो… https://t.co/m3qWv168qw"
Venkat  reddy,@smitaprakash Nice script but film not going to release at all we support #CAA
shabab khan,"लखनऊ घंटाघर पर NRC, CAA को लेकर  मशहूर शायर मुनव्वर राना की बेटी उरुसा से  खास बातचीत ,,,,संवाददाता शबाब ख़ान https://t.co/sd2jkCit1s"
Raj,"@ashutosh83B Bilkul haregi bjp.
Per kaale baba aapne ye nahi bataya ki jo log shaheen bag main baithe hai kya wo sa… https://t.co/jgMIUgMEzb"
Save Democracy,Modi and Shah destroying India.Students who are protesting against #CAA_NRC_NPR  are labelled as terrorist with the… https://t.co/iVjj2kfYpI
Sayeed Ahmed,@gr_eternity @Anil82302640 @naukarshah After over all this they already announced they bring NRC all over country.… https://t.co/8rJVWGkGeX
Nitin singhal,CAA के समर्थन के लिए 8866288662 पर मिसकॉल करे https://t.co/wy0eBLCAXw
Alex,@ikirtitiwari I thought would have to google to search word CAA. You tells me its Citizen Amendment Act.thanks kirt… https://t.co/qFbL9RNbnE
Saroj Pandey,"छत्तीसगढ़ की @bhupeshbaghel सरकार ने कैबिनेट में #CAA के विरोध में प्रस्ताव पास किया

आपकी पार्टी @INCIndia नेता… https://t.co/X7F03tqlPh"
Gopi Bhai,"कोहरे की नगरी दिल्ली में, चुनावी कोहराम
अब शाहीन बाग ही फिक्स करेगा की दिल्ली चुनाव कोन जितेगा व CAA, NRC एक्ट मजबु… https://t.co/yqu7ZDl2kg"
typocracy,"प्रूव करने के लिए, सम्मन किए गए रतन नूरा
#UPPolice #CAA_NRC_Protests https://t.co/nxdAhR8rCU https://t.co/QPCMw47olc"
mad mad hindu,"राहुल गांधी कहा है?? CAA विरोधी कहा है? 
प्रियंका वाड्रा कहा है?
@RahulGandhi
@priyankagandhi
@INCIndia https://t.co/jAuxPR4J9y"
Meet Patel,"Controversy about CAA, CAB and NRC have been reached on an apex point these days. According to the Constitution min… https://t.co/1xVGKOoXC7"
Tanvi Bhakta,"#bangaloreprotests #CAA_NRC_Protests 

We're in front of the CCD and will be here until 5.17pm to pay homage to the… https://t.co/VfJKXSYwXi"
X,Anti CAA guy taking one for the team: Interrogates the most agressive and non- journalistic journalist mid flight c… https://t.co/m8e9KAnxTq
Sushil Karwal5,"NDTVIndia: Univ me padne wale students ko CAA se kya lena dena, CAA ka verodh wo chand students he karenge jine vep… https://t.co/qEIEwIDoU4"
