user,tweet
Mister Greedy 🦊,"@patnaikdee They are not enjoying, I see it as empowering them... If giving for free was bad, Delhi wouldn't br the… https://t.co/9S7wCa1Wm7"
Parmeshwar shelke,"दिल्ली देशद्रोही आहे
म्हणून मा.पंतप्रधान दिल्ली सोडणार आहेत म्हणे
 🤣😂
#AAP #Delhi_Elections https://t.co/RpDxzx2R4Q"
Kaushal Kumbhat,Congratulations @ArvindKejriwal and @AamAadmiParty. Your win in Delhi goes a long way in restoring my faith in the… https://t.co/09tXIaM0Vo
sadhuvaad,@nisheethsharan I agree our campaign didn't pick in the begining bt then Delhi nvr whole heartedly trusted BJP.
anupsadhu,"@ANI #Delhi Results: अनोखा निष्कर्ष

आप खुश - सत्ता सुरक्षित 🤔
बीजेपी खुश - कॉंग्रेस मुक्त भारत 👌
कांग्रेस खुश - भाजपा हार गई"
Shakeel Gundagi,#PoliceBrutality has to stop in Delhi ... #JamiaProtests @MoutasimBillah2 #AMU https://t.co/I8FD2Dv6pB
SESHADRI REDDY,The results of elections in the state of Delhi are very significant in the sense that people are decisive and orien… https://t.co/5qUAqWI7tk
HOLYer Than Thou,"@AmTrehan @aawara_aatma Another Usage
Aaaj Delhi election results se Bagga,Tivari ,Tadipaar aur Fenku ki G F gayi."
Rajib bagchi,@DostKhan_Jammu @AamAadmiParty @ArvindKejriwal As a blind follower of BJP and a great admirer of yours why blaming… https://t.co/u1M3JTCYbF
Rajiv Bakshi,Delhi Results: PM Modi Congratulates Kejriwal On AAP's Landslide Win  https://t.co/vzTvZYez9J @VikasSarcar
NABIN MISHRA,"Hat se gaya Delhi thoko talli
Kwal ka kamal thoko talli
Free mal ka sawal thoko talli
Congress nazar nehi aya thoko… https://t.co/nTfni8ttFc"
BAHLAB CHARAN SAHOO,@RahulGandhi OUR BEST WISHES TO U PAPPU KHAN FOR A HUMILIATING DEFEAT IN DELHI.BESHARM KAHIKA...
dkm,"#Dilliwalon #Delhi listen think &amp; get ready to pay for your SELFISHNESS IN FUTURE
Enjoy and cooperate with… https://t.co/IljEJaFnUC"
डायाराम रेबारी 🇮🇳,"The biggest win in Delhi polls is of Sanjeev Jha  @Sanjeev_aap from Burari by over 88,000 votes!...

बहुत बहुत बधाई 👍🙏"
Sherry Gumber,There have been serious allegations against AAP for instigating riots in Delhi by inciting Muslim mobs against the… https://t.co/1yyCC4K6S5
don't keep QAM,Why is Sam Elliot talking about Delhi polls tho? https://t.co/FLnTixjZng
GP Bhardwaj,@nitin_gadkari @ArvindKejriwal @BJP4India Sir why u allowed the gaveyeya to in Delhi politics..he is really damaging character in Delhi
pranav,@VibhorDaga @iNikhil Fellow Delhi hater? We're soulmates g
Bharat,@colkt @cpraghav Just shut up I m from Delhi
AB,Tussle between Mukesh Ambani and Narendra Modi-led Government is escalating. Ambani wanted to recall the Delhi HC’s… https://t.co/PbNtrVNYXd
SHAN MOHD,@msisodia Bahut bahut Mubarakbad Manish sir....ab Delhi k schools me students aur teachers k ratio pe focus kijiye… https://t.co/UUFFE6d95e
manjira,@Retributions The petulance of these supporters has been smthing! Incessant whine of betrayal that the people of Delhi have let them down.
Coke Midnight,@kapsology @DeepikaBhardwaj @narendramodi What the f**k is Delhi constitution?
Sonu,@ArvindKejriwal congrats sir apko or delhi walo ko.aj cm kl pm honge ap
M D KUMAR,"#VadrasFinishCongress@Congress Mukhth Delhi now, Congress mukth India soon."
Mohsin,"Amit Shah is totally confused...

He asked the people of Delhi 
_""Vote kisko diya?""_

And they all replied...
*""AAP… https://t.co/NhrFNwOMuK"
Bansh,"@RahulGandhi Modi ji in center
Kejriwal in Delhi

What about you....

Lage raho..."
girish Madanshetti,@Pooooja It must be noted that Delhi results is not vote against modi...But kejeriwal must be praised for successfu… https://t.co/27KKkCgrX5
Zaid Lari,@ReallySwara @ArvindKejriwal @msisodia @AtishiAAP @raghav_chadha @dilipkpandey @KhanAmanatullah @AamAadmiParty Vict… https://t.co/dKBfXgVc4a
Khaja Salahudeen S.S,Delhi https://t.co/hVvcz0saVX
Zahid malik,DELHI says no bakwas only kaam ki baat#DelhiResults
Neena Sinhaa,"De Data Ke Naam Tujhko Allah Rakhe International #fakir aye hain  | Asha Bhosle, Manna Dey | Ankhen… https://t.co/IpfMHH6vsU"
Gaurav Dalmia,"No shortage of Delhi election jokes... 
😂
BREAKING NEWS: Rahul Gandhi wants to know when would the counting for the… https://t.co/doX9A9RsDM"
J.LIZ.LONG,@ShangrilaNewDel We loved our time at at Shangri la Delhi
Arudra Gupta,I congratulate every selfless Volunteer who tried to bring @BJP4India to power in Delhi. You genuinely wanted to wo… https://t.co/sXWONSWpPT
Amit Kumar,"It's a very annoy feeling. When you realize Y.T.#, you are following person like @chetan_bhagat .
Who don't even kn… https://t.co/a3RwuOU51X"
Haris,"Delhi election and morale o all regional parties and the Congress.
https://t.co/Ghu9CgVduC"
Satish Acharya,Biryani! #delhiresults https://t.co/xfehVRHrEF
राहुल कु. यादव 🇮🇳,@AatmaCrazy @ShivSena @Jduonline @NitishKumar @BJP4India @ROFLGandhi @Pun_Starr @Nehr_who @AamAadmiParty 🤣😂🤣😂🙏 Delh… https://t.co/p4uGRh3C5v
sarkar 2.0,@yadavakhilesh Tum 53% vote nhi la paunge ...Delhi main mil Gaye har jagah 53 ke liye duhha Nikal jayega
Captain^Ns,Congratulations Kejriwal Sir Delhi Walon Ne Ek Bar Phir Aapko Sewa Karne Ka Mouka Diya✌️👌👌👌
"SO, I support CAA",@arvins08singh @NishaTweets18 Anyways I would wait for the day when these freebies stop to see how much development… https://t.co/IYeBTrjfBp
Dinanath pande Narayan,@narendramodi @ArvindKejriwal Aam aadami party ki jagah agar bhajpa Jeet darj ki hoti Delhi per to kejriwal AVM ka… https://t.co/jfieJjFHCS
shashikara s shetty,"@_sabanaqvi And invited Mujahedeens CAA post
Poned the demise of Kaffirs for 5
Decades and Kaffirs of Delhi invited… https://t.co/QekqWlB4ma"
HarshitaUjjainiwal,@yeetshawarma Delhi guys are low key hot but not good for my mental health
Shahban,@ArvindKejriwal sir  holi ane wali hai apse request hai aap media k samne ek bar ya bol de ki Delhi ke Muslim holi… https://t.co/uQWJB22ltv
Rahul,"#AAPKIDELHI #LOVE_VS_HATE #DELHIELECTION2020 

The People Of Delhi Have Given Birth To A New Type Of Politics In Th… https://t.co/FwDgMqsjZE"
Mahesh Chandra Shrama,@ mist Arvind kejriwal. On @Aam Aadmi party. Scoring hatrick in Delhi. Assembly election people of Delhi and five y… https://t.co/58aDHb8iwN
Economic Times,#DelhiAssemblyElections2020: Official ECI results declared for all 70 seats; @AamAadmiParty (#AAP) wins 62 seats an… https://t.co/P9UH9RiPRT
Nothing but the Truth,"Congratulation @ArvindKejriwal on @AamAadmiParty's back-to-back blockbusters in #DelhiAssemblyElections.

People of… https://t.co/1R4fYPBfEs"
Virender Maharshi55,"@LambaAlka Mam you played from wrong side as far as Delhi has
 got concerned"
Gaurav Dixit,@ArvindKejriwal Congratulations to Arvind Kejriwal for becoming 3rd time Chief Minister of Delhi.
इंडियन ब्राह्मण,"#DelhiResults Free electricity for 200 units every two months, a year savings for middle class ₹5000 on this and De… https://t.co/wjDTh2X2Zf"
arshia:),"@losfamgeles Me: Hi, I'm Arshia!
Person (let's say they arent indian): Where are you from?
Me: Delhi, India:)
Perso… https://t.co/qpEKe26c49"
Vipul Singh,"BJP lost delhi election

EVM ka rona rone wale kaha hain?? If BJP would have won the election thn they would have s… https://t.co/iJe17pUGJd"
Parveen rao sultaniya(sid fan),"@ZAFARSHEKHANI2 @MubashirHifza @RiaRevealed Suwar tera baap tha kya godse
Maa chudaye godse
Maa ki chut godse ki bo… https://t.co/Jne0hY9OVg"
AB,@Charanssapra Abe Nandan apna pataa Nahi doosre ko Bol raha hai. 5% se kum vote mila hai Delhi mein chapra. Kab tak… https://t.co/IrrAuwh5fP
Sandha Saan,@narendramodi @ArvindKejriwal I think @ArvindKejriwal should be PM of India. Delhi got the luck again
Pt. Deepak Pande,"#e-vaastu specialist and #astrologer, #e-vaastu in #lucknow,vastu in #delhi ,#e-vaastu in #kanpur,#e-vaastu in… https://t.co/FOzioAGPQl"
Lisha 3.0🇮🇳,Delhi ko delhi hi rehne dijiega London nahi chahiye hume 🙏 https://t.co/r5sgiTru5j
; 🇮🇳,@Keyuratedtweets Dude I legit feel bad coz I've not had the heart to slander Delhi after Shaheen Bagh.  And now thi… https://t.co/K0KUudAhDd
Keval Ralli,@vijayrupanibjp Mr Rupani No show off on the name of samman they need to be respected in the society by giving spec… https://t.co/H59Zhykg3m
Payel Roy,It's not enough to win but win with a landslide victory sometimes. Congratulations to Aam Aadmi Party and Mr.Arvind… https://t.co/4u1kHdkMVg
chokidar,"@ndtv Delhi wale Kejiriwal ab bolegs kendra sayog karo, kendra kuchh nahi deraha hai"
dimplesamirmehta,Freebies works but honestly people of delhi like kejri #DelhiResultOnZee
Satyajit Sahoo,Congratulations to AAM AADMI PARTY &amp; Hearty congratulations to @ArvindKejriwal JI on becoming the #CM of Delhi agai… https://t.co/oil2OgaAM0
Prabhav Mishra,@sharmajikibetih Kabhi kabhi lgta hai BJP apni galti se hi Delhi haari hai...
Divine Power,If the CM of Delhi can give free electricity and water. We in Maharashtra also Demand the same @PMOIndia… https://t.co/tSHsq2Qu8H
Kartik,"Money speaks😛😎😎😎. Get some money before making such requests/offers/proposals.
#NZvsIND #NZvInd #Delhi https://t.co/bkO9tA8oZo"
Shehryaar Khan,Couldn't be prouder of delhi people. #BjpMuktBharat #AAPKIDILLI
KARTHIKEYAN,@PChidambaram_IN Sonia and Ragul should take the responsibility for failure in DELHI election.
INDIAN,"@ANI Ab kya hua bohat bol rahe the Bjprss wale
India Pak Hindu Muslim
Ab batao Kaun jeeta Kaun haara
Can't divide n… https://t.co/F2IGI2rg9N"
Pranjal Jani,Arvind Kejriwal and his some netas are working properly and that's reason even being in side of BJP. BJP losing thi… https://t.co/121TaFiNm8
Faraz Zaidi,"Song of the day.

YE DELHI HAI MERE YAAR FULL SONG (DELHI 6) https://t.co/A9f3OSip4V via @YouTube"
Badass_Babua,"@khanumarfa Delhi to jhanki hai , bihar bengal abhi baaki hai
Be ready for more of these kinds of campaigns"
Arshad Khan,@anuragkashyap72 Bhai Delhi ki janta khud bhi rakhwali kar rahi thi EVM ki...
4miT 😎,"@ZeeNewsHindi बुढापे मैं साटिया गए हो यही सब बयानों की वजह से बीजेपी हरि है 
पहले परवेश वर्मा और  अनुराग ठाकुर जैसे… https://t.co/nRvyYqn3CW"
Durga Uniyal,Aaj pata lag gaya me Delhi Ka Nahi Hu...🤭🤭🤭😎😎😎 Thanks God😎😎😎🤭🤭 #BJP #Modi #pm #PMModi  #Sambitpatra @sambitswaraj @narendramodi
Coolbuddy,@narendramodi Sir Ji.. Kindly find Good local Leader for next assembly election in Delhi...against Kejriwaal..Who i… https://t.co/kRYnhG29vg
Teleoreversion,"@ChaudhrGurnam @SinghTvitter @narendramodi it’s Maths - BJP has 30-32% core voter base in Delhi  , AAP has about th… https://t.co/Lm6BNPH3co"
Kaivalya,@OfficeofUT @AamAadmiParty @ArvindKejriwal Can we plan to implement the education model in Maharashtra as well simi… https://t.co/yOoAhBJ58p
HUMTUM,@cute_thakurain Delhi
Priyarag Verma,"Final result of Delhi Assembly election. AAP 62, BJP 8 #DelhiResults https://t.co/0L7AhiPbVy"
