user,tweet
"हम भारत के लोग,",@judedavid21 @amitbehere Its not money somebody frm Delhi had tweeted after 3 pm EVM were activated otherwise it wo… https://t.co/VBbJ3bILwa
The Animal Lover,@nagaraju_kr @jashrawat She could also get a electricity line from Delhi__Kejri  would give it for free!
Prash,"Not sure anyone noticed or not!! 
All EVM are working good guys comeon!! thats a good progress anyway.. 
Something… https://t.co/Kt8VpIziA2"
Pseudo Sickular..,@chitraaum Har election Delhi jaisa nahi hota aur har voters Delhi jaise nahi hote. kuch log hai joh free kay bajai… https://t.co/HaA2ZgpACU
M. S. Srinivasa Rao,@allmaaya @Satchitanand190 @Abhinan58030593 @Kavita_M57 @kanimozhi @BesuraTaansane @narendramodi @AmitShah… https://t.co/UloFoDL0F1
Krishna Dev Pandey,NBT: दोषियों के डेथ वॉरंट की मांग करते हुए कोर्ट में रो पड़ीं निर्भया की मां  https://t.co/tTnGDDM0uF
John Stark,@ShobhaBJP Why did Amit Shah lose Delhi elections.
ASHisH KuMar,@Amritapandeyy Delhi CM ek list banye aur jinko free se prblm hai unke liye paid krde😂😂😂
Shalu Joshi ✌️,That looks like Congress after Delhi Election 🤣🤣🤣 https://t.co/EZYN3WWvMj
Saurav,#HowMuchFree 2015 AAP manifesto promised free travel for students and senior citizens. They gave it to women in lat… https://t.co/ka4JwGfKFe
Jackal,"I am shifting to ""Delhi"". It's not worth to live anywhere else in India. Free Electricity, Free Water, Free Transpo… https://t.co/qlVJUNMTT9"
ଓଟିଭି,"ବଢ଼ିଲା ରନ୍ଧନ ଗ୍ୟାସ୍ ଦର #LPGGasPriceHike 
https://t.co/VuN7dinoO1 https://t.co/WJu5sJo9co"
Bhaijaan Rakibul Islam,Congratulations Honorable @ArvindKejriwal Sir for AAP’s spectacular win in Delhi election. I wish you and all winni… https://t.co/yGc0haO7Gg
Jasram Pokhriyal,When M used killing of Dr Narang in Delhi where was the soul of these Hindus when Kejriwal did not spoke a word and… https://t.co/niv60D6TSC
Subhranshu,@Delhi_Sarcasm That 40 percent in delhi and 32 percent in North India is the bjp core vote. That is not going anywh… https://t.co/dVM9zxzMNF
Satish Kumar,"@ArvindKejriwal @virendersehwag Sir , hamara ek kamara seal hua pada hea 10 saal se hamne pese bhi bhar diye hai De… https://t.co/CoanQwVYSI"
Eztainutlacatl ~ळाळुक,"@Karthik17649157 Centre can't allow a default. End result will be a write off - Say, if 70000 crore is the total am… https://t.co/WXqfxsdnLo"
Shruti Shrivastava,"@justvoot Delhi
#ShehnazKeAsliFans #AsliFans #BB13OnVoot"
watan parast,"Delhi https://t.co/ZmOnfRW1P5 sabhi senior ko mauqa diya ja chuka h,koi hhi ksmyabi nhi dila saka, aisa hi daur pah… https://t.co/C8kbtNwEk5"
skumar Ishu,@BhavikaKapoor5 Hmmmm No stand .. only Delhi progress is target .. 😃🙏
Krishna Dev Pandey,NBT: हाथ जोड़ती हूं... कोर्ट में रो पड़ीं निर्भया की मां https://t.co/tTnGDDM0uF
Rafiq Ansari 10,"@dhanushkraja 

I AM LOCAL BOY\MAN FROM NRPT TO DELHI IN INDIA

@actress_Sneha 
@AmarpaliDubey 
@SUNILSHETTY https://t.co/nq2bj96qcF"
ABHISHEK VERMA,@ImtiazMadmood Ask muslims of DELHI. They still put religion first.
Anurag Jain,@thepeeinghuman would you make your next video on Delhi election coverage by media?
Bipin surati,"@MukeshDBhatia8 @aartic02 @ArvindKejriwal Sahi bat hai, Delhi ke thag jane jate hai,aaj sabit ho gaya,free de kar w… https://t.co/rsvR8CaIPc"
Ramesh Chand,@Amritapandeyy Delhi wale bhikh mange
Prof. Moriarty (JNU waale),Delhi BJP @BJP4Delhi website hacked?
Randeep Baruah,@GHOODAAA @Sanchit26091999 He bhagwan 😂🙏✌️ Peace. Koi nhi 5saal baad phir se try krna Delhi ko lene ki. Peace ✌️
Sachin Gupta,"@kunalb11 CAA was passed on 10th December in loksabha  ! How come December impacted other month of holidays. 

Poll… https://t.co/U9RYim7ite"
News18,"#NewsAlert | 10 people have been arrested in connection with the case. Over 11 teams are working on the case, we ar… https://t.co/dbMyOmgugM"
Krishna Dev Pandey,"NBT: अटकलें खत्म, AAP सरकार में मंत्री होंगे ये चेहरे https://t.co/GKBuYlRf5T"
Syed Nazim Ali,"@Delhi_Sarcasm @Iqra_K_ Yes it is wat it is!
But wouldn't endorse d fact that I am going to b always compared with… https://t.co/vmaEu6QrmF"
🇮🇳 Payal Sharma 🇮🇳,@sunilBLramawat I don't think Delhi is a country sir 🙄
🇮🇳 Shankari Basu 🇮🇳,"@republic Delhi Freebee fact sheet
Free transport: cost Rs700 cr
Free electricity: cost Rs1720 cr
Free water: Rs400… https://t.co/ckFYQbfrQ8"
News Bracket,"Centre's Mega Ad Blitz To Hit Airwaves Days After BJP's Delhi Drubbing
BJP said it will ""introspect"" on their... https://t.co/EI1cX9HUly"
Yogesh Sharma,"@justvoot Delhi 
 #BB13OnVoot 
#AsliFans  
#SidharthKeAsliFans"
गीतिका,"Delhi court is offering legal aid &amp; new lawyer to Nirbhaya's rapists. 

Mother is running pillar to post for justic… https://t.co/MyewGxrFSm"
Manoj Jaiswal,@RahulGandhi P.C. Chako New Delhi main Nahi Chalega .Change This personal immediately.
BHARAT_PUTRA,"@republic Kejriwal model is worst model of politics, shame that people of Delhi didn't realized and fell for it. #HowMuchFree"
